price,district,metro_name,metro_time,metro_get_type,size,kitchen,floor,floors,constructed,fix,type_of_building,type_of_walls
8349999,15,26,12,1,38,13,1,22,1985,3,4,2
9500000,10,16,13,1,36,7,5,17,1997,2,1,1
8600000,15,20,4,2,34,9,1,3,1959,3,2,2
10500000,10,18,19,1,37,9,11,25,2019,1,3,2
9880000,10,16,14,1,38,8,6,17,1997,2,4,2
7300000,22,18,10,2,38,18,3,6,2021,1,6,1
10340000,10,15,8,1,38,8,14,17,1998,3,4,2
7700000,20,18,10,2,38,16,11,16,2022,1,3,1
5500000,23,27,12,1,36,9,1,2,1997,3,5,3
11500000,10,15,2,1,38,8,6,17,1992,2,1,1
6700000,24,18,6,2,42,11,3,4,2017,2,1,1
10500000,10,15,11,1,39,10,14,22,1999,3,4,2
8900000,11,19,8,1,41,10,1,17,2006,3,4,2
14500000,10,15,8,1,40,11,20,25,2016,4,3,2
11400000,10,18,18,1,37,10,11,26,2019,3,1,2
10480000,10,15,1,1,38,8,16,17,1997,3,1,1
10900000,10,15,5,1,38,8,9,17,1994,3,4,2
8500000,10,18,8,1,30,10,1,14,1994,2,4,2
6300000,12,16,30,2,43,7,4,7,2015,3,3,2
10490000,11,17,12,1,40,15,16,17,1997,4,3,2
10200000,25,23,30,2,35,17,10,25,2021,2,1,1
7500000,26,16,7,2,39,9,10,12,1997,5,3,2
6950000,23,27,7,2,41,10,13,14,1997,5,3,2
5900000,22,18,8,2,33,15,2,6,2022,1,1,1
10500000,10,15,4,1,38,8,3,17,1991,5,4,2
10300000,10,15,9,1,42,10,20,24,2015,2,3,1
9100000,17,15,40,1,56,11,2,11,2008,4,3,2
9500000,11,17,9,1,38,10,27,30,2020,2,1,1
9500000,10,15,19,1,37,8,1,17,1996,3,4,2
8000000,17,15,7,2,38,14,7,25,1997,5,1,1
7700000,9,14,2,1,31,9,2,4,1997,2,1,1
6600000,27,26,15,2,30,14,5,8,1997,3,3,2
6000000,22,18,8,2,32,15,4,6,2022,2,1,1
6150000,12,18,29,2,50,18,4,9,1997,2,1,1
11200000,11,17,15,1,44,9,8,28,2016,2,1,1
10500000,11,16,12,1,44,8,23,28,2016,1,3,2
7700000,10,15,7,1,29,5,22,25,2017,4,3,1
12650000,11,19,15,1,38,14,11,23,2015,5,4,2
10900000,19,25,15,1,36,10,12,17,2004,3,4,2
7300000,18,22,10,1,37,10,2,9,1970,3,2,2
13700000,10,18,17,1,41,12,16,24,2019,2,3,2
13200000,10,15,6,1,41,10,3,15,1997,2,4,2
11300000,10,16,10,1,39,8,14,14,1997,2,1,1
11000000,14,17,11,2,52,15,10,15,1997,5,2,2
9000000,10,15,7,1,29,7,18,24,2015,2,1,1
8300000,23,27,5,1,52,13,3,17,2012,5,1,2
7500000,17,15,15,2,34,11,4,20,1997,2,1,1
6800000,23,27,20,1,35,10,2,8,1997,5,1,1
6550000,28,18,35,2,36,9,1,4,1997,5,3,2
6200000,28,18,15,2,32,8,3,4,1997,5,3,2
6200000,28,18,15,2,30,10,1,8,1997,5,3,2
12000000,11,17,20,1,41,11,9,25,2014,4,3,2
10300000,15,20,10,1,38,8,15,17,1991,5,4,1
10850000,29,21,15,1,39,9,1,12,1997,2,1,1
9500000,20,15,10,2,35,11,7,8,1997,3,1,1
8690000,14,23,11,1,32,6,5,25,2016,5,3,2
8650000,14,23,14,1,32,9,35,44,2014,5,3,2
10490000,11,17,13,1,44,8,7,16,2005,5,4,2
9950000,14,23,7,1,40,20,10,21,2010,5,3,2
9600000,21,21,5,2,42,13,13,33,1997,2,3,1
9000000,20,18,10,2,45,24,6,9,2022,1,3,1
9500000,11,16,15,1,38,10,15,29,1997,1,2,1
7500000,10,15,9,1,30,6,17,24,2015,5,3,1
10750000,10,16,9,1,40,10,10,22,1998,4,4,2
11500000,11,17,15,1,44,13,16,25,2014,4,3,2
8990000,10,16,7,1,35,10,10,16,1998,3,4,2
10300000,10,18,2,1,39,8,5,14,1992,3,4,2
10900000,15,26,10,2,40,10,3,16,2022,2,1,1
10900000,10,16,12,1,46,10,12,18,2003,3,3,2
15600000,20,18,5,2,49,21,9,9,2020,2,1,1
10500000,11,15,27,1,41,8,16,23,2013,4,3,2
12650000,11,19,15,1,35,13,11,23,2015,5,4,2
6000000,30,24,35,2,31,5,5,5,1997,5,2,2
4650000,30,16,25,2,30,6,1,5,1973,2,1,1
8200000,21,21,15,1,32,5,12,34,2020,2,1,1
7700000,21,21,25,1,30,14,10,34,1997,2,1,1
6400000,28,18,13,2,33,9,8,8,2017,5,1,2
